feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
item_category,LSTM,IntegratedGradients,37.97879,HOUSEHOLD,46.284058,2.34e-06,42.26875
day_of_week,LSTM,IntegratedGradients,19.496891,HOUSEHOLD,-1.9955307,-1.01e-07,9.673199
state_ur,LSTM,IntegratedGradients,14.941104,HOUSEHOLD,2.3952956,1.21e-07,18.6095
state_cpi,LSTM,IntegratedGradients,6.568518,HOUSEHOLD,-6.3794875,-3.22e-07,6.4636035
consumer_sentiment,LSTM,IntegratedGradients,4.686762,HOUSEHOLD,7.7173414,3.89e-07,7.5732017
state_gas_price,LSTM,IntegratedGradients,4.534874,HOUSEHOLD,-7.9663715,-4.02e-07,5.3039765
month,LSTM,IntegratedGradients,4.0348625,HOUSEHOLD,-6.7545457,-3.41e-07,3.6465435
day_of_month,LSTM,IntegratedGradients,2.7206213,HOUSEHOLD,35.70748,1.8e-06,2.5163481
state_snap,LSTM,IntegratedGradients,2.4418232,HOUSEHOLD,51.94772,2.62e-06,1.3618188
event_type_1,LSTM,IntegratedGradients,0.9093167,HOUSEHOLD,3.1042166,1.57e-07,0.794027
sell_price,LSTM,IntegratedGradients,0.7296499,HOUSEHOLD,-6.6195803,-3.34e-07,0.64832693
event_name_1,LSTM,IntegratedGradients,0.4305428,HOUSEHOLD,2.0246425,1.02e-07,0.6676905
state_ur_mom_delta,LSTM,IntegratedGradients,0.28831765,HOUSEHOLD,-11.719586,-5.91e-07,0.3163224
state_gas_wow_delta,LSTM,IntegratedGradients,0.14714298,HOUSEHOLD,-4.1844187,-2.11e-07,0.13132384
state_cpi_mom_delta,LSTM,IntegratedGradients,0.0907868,HOUSEHOLD,-3.561224,-1.8e-07,0.025371736
event_name_2,LSTM,IntegratedGradients,0.0,HOUSEHOLD,0.0,0.0,0.0
event_type_2,LSTM,IntegratedGradients,0.0,HOUSEHOLD,0.0,0.0,0.0
item_category,LSTM,GradientSHAP,29.888535,base,-3.0955138,3.46e-08,36.08166
day_of_week,LSTM,GradientSHAP,23.034288,base,-36.028473,4.02e-07,11.544214
state_ur,LSTM,GradientSHAP,16.644207,base,57.54187,-6.43e-07,19.983513
