feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
event_type_2,IntegratedGradients,0,HOUSEHOLD,0,0,0
item_category,GradientSHAP,29.888535,base,-3.0955138,3.46E-08,36.08166
day_of_week,GradientSHAP,23.034288,base,-36.028473,4.02E-07,11.544214
state_ur,GradientSHAP,16.644207,base,57.54187,-6.43E-07,19.983513
state_cpi,GradientSHAP,7.4425564,base,1.3990868,-1.56E-08,6.7033896
consumer_sentiment,GradientSHAP,5.5145245,base,-28.298786,3.16E-07,8.081573
state_gas_price,GradientSHAP,4.960122,base,49.806946,-5.56E-07,5.5407805
month,GradientSHAP,4.45303,base,18.872885,-2.11E-07,3.815427
day_of_month,GradientSHAP,3.041903,base,-11.902348,1.33E-07,2.4948363
state_snap,GradientSHAP,2.7060177,base,29.495182,-3.29E-07,1.6236448
event_type_1,GradientSHAP,0.9512091,base,6.6807213,-7.46E-08,0.8693032
sell_price,GradientSHAP,0.7995574,base,16.440062,-1.84E-07,0.6251665
event_name_1,GradientSHAP,0.53189164,base,-4.9571695,5.54E-08,0.6016877
state_ur_mom_delta,GradientSHAP,0.022053804,base,3.089389,-3.45E-08,1.4695655
state_cpi_mom_delta,GradientSHAP,0.006084628,base,1.0241826,-1.14E-08,0.4402721
state_gas_wow_delta,GradientSHAP,0.004018482,base,-0.06803269,7.60E-10,0.12497861
event_name_2,GradientSHAP,0,base,0,0,0
event_type_2,GradientSHAP,0,base,0,0,0
day_of_week,GradientSHAP,31.625902,baseNoCats,25.623646,-3.56E-07,16.945158
state_ur,GradientSHAP,24.428541,baseNoCats,59.47312,-8.26E-07,31.42375
state_cpi,GradientSHAP,10.817244,baseNoCats,9.694388,-1.35E-07,10.648977
consumer_sentiment,GradientSHAP,7.9503016,baseNoCats,-22.976267,3.19E-07,12.92378
state_gas_price,GradientSHAP,7.009488,baseNoCats,31.642643,-4.39E-07,8.762727
month,GradientSHAP,6.423622,baseNoCats,5.28746,-7.34E-08,6.048963
day_of_month,GradientSHAP,4.2564273,baseNoCats,-9.191341,1.28E-07,3.93228
state_snap,GradientSHAP,3.9408169,baseNoCats,11.824471,-1.64E-07,2.6330886
event_type_1,GradientSHAP,1.3822979,baseNoCats,2.8499207,-3.96E-08,1.3503815
sell_price,GradientSHAP,1.1597333,baseNoCats,4.3292704,-6.01E-08,0.9895593
event_name_1,GradientSHAP,0.6930576,baseNoCats,-3.5627804,4.95E-08,0.79345256
state_ur_mom_delta,GradientSHAP,0.24260971,baseNoCats,-17.366999,2.41E-07,2.616511
state_gas_wow_delta,GradientSHAP,0.061132584,baseNoCats,1.5447763,-2.14E-08,0.22581483
state_cpi_mom_delta,GradientSHAP,0.008831244,baseNoCats,0.82770383,-1.15E-08,0.7055503
event_name_2,GradientSHAP,0,baseNoCats,0,0,0
event_type_2,GradientSHAP,0,baseNoCats,0,0,0
day_of_week,GradientSHAP,31.732386,FOODS,-6.6077456,5.18E-08,19.360693
state_ur,GradientSHAP,24.190832,FOODS,67.82592,-5.31E-07,31.775919
state_cpi,GradientSHAP,10.778251,FOODS,22.560871,-1.77E-07,10.97723
consumer_sentiment,GradientSHAP,8.27407,FOODS,-47.18366,3.70E-07,13.02704
state_gas_price,GradientSHAP,6.518213,FOODS,49.929844,-3.91E-07,8.761462
month,GradientSHAP,6.137954,FOODS,11.130702,-8.72E-08,5.975634
state_snap,GradientSHAP,5.0832276,FOODS,6.9314694,-5.43E-08,2.8587506
day_of_month,GradientSHAP,4.3960905,FOODS,-12.239607,9.59E-08,3.7511208
event_type_1,GradientSHAP,1.3232214,FOODS,6.2981153,-4.93E-08,1.6969448
event_name_1,GradientSHAP,0.80938566,FOODS,-0.50034314,3.92E-09,0.9787608
sell_price,GradientSHAP,0.7516307,FOODS,1.9567457,-1.53E-08,0.65917325
state_gas_wow_delta,GradientSHAP,0.004734076,FOODS,-0.10230448,8.01E-10,0.17727087
state_ur_mom_delta,GradientSHAP,0,FOODS,0,0,0
state_cpi_mom_delta,GradientSHAP,0,FOODS,0,0,0
event_type_2,GradientSHAP,0,FOODS,0,0,0
event_name_2,GradientSHAP,0,FOODS,0,0,0
item_category,GradientSHAP,0,FOODS,0,0,0
day_of_week,GradientSHAP,30.55513,HOBBIES,-13.838947,9.52E-08,15.266345
state_ur,GradientSHAP,24.544348,HOBBIES,84.97214,-5.85E-07,30.664482
state_cpi,GradientSHAP,10.838974,HOBBIES,18.993633,-1.31E-07,10.376412
consumer_sentiment,GradientSHAP,8.152401,HOBBIES,-35.76211,2.46E-07,12.611336
state_gas_price,GradientSHAP,7.179176,HOBBIES,66.52966,-4.58E-07,8.517478
month,GradientSHAP,6.5727143,HOBBIES,-17.067858,1.17E-07,5.926403
day_of_month,GradientSHAP,4.2745023,HOBBIES,-41.95427,2.89E-07,3.8392377
state_snap,GradientSHAP,3.9049919,HOBBIES,-2.7836676,1.92E-08,2.504347
sell_price,GradientSHAP,1.610654,HOBBIES,9.50668,-6.54E-08,1.2519329
event_type_1,GradientSHAP,1.3734956,HOBBIES,7.7984614,-5.37E-08,1.2597978
event_name_1,GradientSHAP,0.7141366,HOBBIES,-3.0615668,2.11E-08,0.8501386
state_ur_mom_delta,GradientSHAP,0.19140354,HOBBIES,24.276564,-1.67E-07,5.186297
state_cpi_mom_delta,GradientSHAP,0.08245878,HOBBIES,2.4518178,-1.69E-08,1.5676655
state_gas_wow_delta,GradientSHAP,0.005607305,HOBBIES,-0.060528748,4.16E-10,0.17813309
event_type_2,GradientSHAP,0,HOBBIES,0,0,0
