feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
state_gas_wow_delta,GradientSHAP,HOUSEHOLD,0.0046769083,-0.18914771,-1.2210014e-10,0.047397647
state_ur_mom_delta,GradientSHAP,HOUSEHOLD,0.0,0.0,0.0,0.0
state_cpi_mom_delta,GradientSHAP,HOUSEHOLD,0.0,0.0,0.0,0.0
event_type_2,GradientSHAP,HOUSEHOLD,0.0,0.0,0.0,0.0
event_name_2,GradientSHAP,HOUSEHOLD,0.0,0.0,0.0,0.0
item_category,GradientSHAP,HOUSEHOLD,0.0,0.0,0.0,0.0
day_of_week,DeepLIFTSHAP,base,13.760689,64.27852,2.4977123e-06,15.310432
event_name_1,DeepLIFTSHAP,base,12.907034,-44.540154,-1.7307258e-06,15.442176
event_type_1,DeepLIFTSHAP,base,12.743892,36.192368,1.4063505e-06,14.548061
day_of_month,DeepLIFTSHAP,base,11.76005,-12.631735,-4.9083957e-07,6.2105494
state_snap,DeepLIFTSHAP,base,7.6539054,15.793243,6.136883e-07,7.2921424
state_ur,DeepLIFTSHAP,base,7.09926,5.064368,1.9678944e-07,10.953649
month,DeepLIFTSHAP,base,7.0654655,7.0541844,2.7410903e-07,6.7375555
sell_price,DeepLIFTSHAP,base,6.099932,5.3252296,2.0692593e-07,3.9348934
state_cpi,DeepLIFTSHAP,base,6.097086,6.607382,2.5674734e-07,4.3409023
item_category,DeepLIFTSHAP,base,5.4588723,11.838337,4.6000997e-07,3.6743786
consumer_sentiment,DeepLIFTSHAP,base,5.3015585,1.7145991,6.66253e-08,7.6210485
state_gas_price,DeepLIFTSHAP,base,4.0191956,3.287848,1.2775806e-07,2.890205
state_ur_mom_delta,DeepLIFTSHAP,base,0.030143289,-0.028422873,-1.1044461e-09,0.7223586
state_cpi_mom_delta,DeepLIFTSHAP,base,0.0024353259,0.04403406,1.7110602e-09,0.2918137
state_gas_wow_delta,DeepLIFTSHAP,base,0.00047137018,0.00019729276,7.666333e-12,0.029842349
event_name_2,DeepLIFTSHAP,base,0.0,0.0,0.0,0.0
event_type_2,DeepLIFTSHAP,base,0.0,0.0,0.0,0.0
day_of_week,DeepLIFTSHAP,baseNoCats,14.629634,53.965748,2.0076086e-06,15.591517
event_name_1,DeepLIFTSHAP,baseNoCats,13.502563,-38.418766,-1.429237e-06,16.109701
event_type_1,DeepLIFTSHAP,baseNoCats,13.352406,33.33564,1.240137e-06,14.938071
day_of_month,DeepLIFTSHAP,baseNoCats,12.236242,-8.930043,-3.322113e-07,6.419457
state_snap,DeepLIFTSHAP,baseNoCats,7.9898834,20.197336,7.513719e-07,7.7911057
month,DeepLIFTSHAP,baseNoCats,7.551895,10.403495,3.8702598e-07,7.0260077
state_ur,DeepLIFTSHAP,baseNoCats,7.5404325,3.9345627,1.4637176e-07,11.393649
state_cpi,DeepLIFTSHAP,baseNoCats,6.792471,10.011252,3.7243396e-07,4.6307116
sell_price,DeepLIFTSHAP,baseNoCats,6.44804,0.7466611,2.777694e-08,4.1131053
consumer_sentiment,DeepLIFTSHAP,baseNoCats,5.7575135,7.643681,2.8435667e-07,7.9385614
state_gas_price,DeepLIFTSHAP,baseNoCats,4.1596985,6.8599997,2.5520254e-07,2.9489183
state_ur_mom_delta,DeepLIFTSHAP,baseNoCats,0.036067683,0.20346078,7.569053e-09,0.7579724
state_cpi_mom_delta,DeepLIFTSHAP,baseNoCats,0.0026400888,0.046792615,1.7407571e-09,0.30935243
state_gas_wow_delta,DeepLIFTSHAP,baseNoCats,0.0005093845,0.00017454578,6.4933714e-12,0.031869642
event_name_2,DeepLIFTSHAP,baseNoCats,0.0,0.0,0.0,0.0
event_type_2,DeepLIFTSHAP,baseNoCats,0.0,0.0,0.0,0.0
day_of_week,DeepLIFTSHAP,FOODS,15.058659,46.38628,2.0475447e-06,15.71855
event_type_1,DeepLIFTSHAP,FOODS,14.041613,34.247772,1.5117367e-06,15.518628
event_name_1,DeepLIFTSHAP,FOODS,13.439044,-27.053093,-1.1941553e-06,16.363972
day_of_month,DeepLIFTSHAP,FOODS,12.592848,-9.699748,-4.2815824e-07,6.5843782
state_snap,DeepLIFTSHAP,FOODS,8.248102,16.883947,7.452772e-07,8.042446
month,DeepLIFTSHAP,FOODS,7.706675,5.437011,2.39996e-07,7.281413
state_ur,DeepLIFTSHAP,FOODS,7.554181,10.364181,4.5748706e-07,11.627738
state_cpi,DeepLIFTSHAP,FOODS,6.7857065,5.3058376,2.3420588e-07,4.63574
consumer_sentiment,DeepLIFTSHAP,FOODS,5.8496227,2.9493275,1.3018676e-07,8.1534605
state_gas_price,DeepLIFTSHAP,FOODS,4.385522,9.195319,4.0589217e-07,2.9881198
sell_price,DeepLIFTSHAP,FOODS,4.3375497,5.9833555,2.6411232e-07,3.0548363
state_gas_wow_delta,DeepLIFTSHAP,FOODS,0.00047641792,-0.0001934306,-8.5382534e-12,0.03071658
state_ur_mom_delta,DeepLIFTSHAP,FOODS,0.0,0.0,0.0,0.0
state_cpi_mom_delta,DeepLIFTSHAP,FOODS,0.0,0.0,0.0,0.0
event_type_2,DeepLIFTSHAP,FOODS,0.0,0.0,0.0,0.0
event_name_2,DeepLIFTSHAP,FOODS,0.0,0.0,0.0,0.0
item_category,DeepLIFTSHAP,FOODS,0.0,0.0,0.0,0.0
